sector,price,bedRoom,built_up_area,estimated_annual_rent,Annual_Cashflow,ROI (%)
sector 82a,1.59,3.0,1668.0,286200.00000000006,-1216825.0,-36.8
sector 88a,1.65,3.0,1652.0,297000.00000000006,-1258388.0,-36.72
sector 81,2.28,3.0,1750.0,410400.0,-1707563.0,-36.3
sector 90,1.6,4.0,2139.0,288000.00000000006,-1246488.0,-37.21
sector 90,1.21,3.0,1581.0,217800.00000000003,-944555.0,-37.26
sector 90,1.25,3.0,1437.0,225000.00000000003,-965864.0,-37.02
sector 2,0.98,2.0,1281.0,176400.00000000003,-767888.0,-37.35
sector 108,0.93,2.0,1161.0,167400.00000000003,-726853.0,-37.29
sector 61,2.24,3.0,1402.0,403200.0000000001,-1662639.0,-36.09
sector 56,1.55,3.0,1810.0,279000.00000000006,-1195421.0,-36.98
sector 79,0.78,2.0,1172.0,140400.00000000003,-621554.0,-37.74
sector 113,1.93,3.0,1429.0,347400.00000000006,-1445227.0,-36.29
sector 104,2.6,4.0,3064.0,468000.00000000006,-1996399.0,-36.87
sector 112,7.46,4.0,6350.0,1342800.0000000002,-5582907.0,-36.28
sector 22,4.8,4.0,2778.0,864000.0000000001,-3534793.0,-35.91
sector 108,0.97,2.0,1167.0,174600.00000000003,-755361.0,-37.2
sector 102,0.97,2.0,828.0,174600.00000000003,-739089.0,-36.69
sector 92,1.7,3.0,1475.0,306000.00000000006,-1285168.0,-36.51
sector 26,6.75,3.0,2430.0,1215000.0000000002,-4893835.0,-35.55
sector 90,1.2,3.0,2144.0,216000.00000000003,-964524.0,-37.94
sector 70,1.65,3.0,1527.0,297000.00000000006,-1252388.0,-36.61
sector 13,1.5,2.0,1300.0,270000.00000000006,-1135665.0,-36.55
sector 84,0.69,2.0,1222.0,124200.0,-560458.0,-38.19
sector 85,1.2,2.0,1660.0,216000.00000000003,-941292.0,-37.37
sector 92,0.75,3.0,1778.0,135000.00000000003,-629477.0,-38.97
sector 49,1.69,3.0,2178.0,304200.00000000006,-1311856.0,-37.13
sector 67,4.5,4.0,3160.0,810000.0000000001,-3341476.0,-36.1
sector 33,8.5,5.0,4770.0,1530000.0000000002,-6240798.0,-35.84
sector 107,0.4,2.0,577.0,72000.00000000001,-324900.0,-38.19
manesar,0.9,4.0,2233.0,162000.00000000003,-757143.0,-39.02
sector 52,5.0,5.0,5778.0,900000.0000000001,-3819896.0,-36.76
sector 76,1.9,3.0,1513.0,342000.00000000006,-1428094.0,-36.38
sector 84,1.24,3.0,1650.0,223200.00000000003,-969033.0,-37.28
sector 33,1.4,3.0,588.0,252000.00000000003,-1030938.0,-35.91
sector 95,0.46,2.0,809.0,82800.00000000001,-378367.0,-38.49
gwal pahari,1.38,2.0,1130.0,248400.0,-1042844.0,-36.5
sector 102,1.82,3.0,1757.0,327600.00000000006,-1383365.0,-36.64
sohna road,0.4,2.0,661.0,72000.00000000001,-328932.0,-38.48
manesar,0.86,3.0,1900.0,154800.00000000003,-712939.0,-38.68
sector 70,1.65,3.0,2167.0,297000.00000000006,-1283108.0,-37.17
sector 59,3.78,3.0,2550.0,680400.0000000001,-2804229.0,-36.08
sector 102,1.42,3.0,1315.0,255600.00000000003,-1079945.0,-36.65
sector 109,1.4,3.0,1466.0,252000.00000000003,-1073082.0,-36.83
sector 95,0.27,2.0,758.0,48600.00000000001,-241872.0,-40.53
sector 86,0.42,2.0,557.0,75600.00000000001,-338050.0,-37.98
sector 99,0.26,2.0,611.0,46800.00000000001,-227761.0,-39.99
sector 95,0.4,3.0,761.0,72000.00000000001,-333732.0,-38.83
sector 56,2.05,4.0,2000.0,369000.00000000006,-1557296.0,-36.63
sector 92,0.87,4.0,1584.0,156600.00000000003,-704826.0,-38.13
sector 86,1.65,3.0,1715.0,297000.00000000006,-1261412.0,-36.77
sector 12,0.42,3.0,567.0,75600.00000000001,-338530.0,-38.01
sector 65,2.75,4.0,1975.0,495000.00000000006,-2049953.0,-36.19
sector 9,0.88,3.0,1438.0,158400.00000000003,-704873.0,-37.86
sector 91,1.4,3.0,1700.0,252000.00000000003,-1084314.0,-37.08
sector 65,5.9,3.0,3043.0,1062000.0000000002,-4323575.0,-35.79
sector 81,0.82,2.0,955.0,147600.0,-639358.0,-37.23
sector 81,3.3,4.0,3070.0,594000.0000000001,-2490544.0,-36.47
sector 92,0.5,3.0,711.0,90000.00000000001,-401883.0,-37.94
sector 69,1.8,4.0,2200.0,324000.00000000006,-1390519.0,-37.02
sector 58,4.85,4.0,3182.0,873000.0000000001,-3589461.0,-36.02
sector 77,1.79,3.0,1600.0,322200.00000000006,-1354663.0,-36.54
sector 99,1.13,3.0,1790.0,203400.0,-898147.0,-37.68
sector 81,2.29,3.0,1900.0,412200.00000000006,-1721819.0,-36.39
sohna road,0.26,1.0,438.0,46800.00000000001,-219457.0,-39.1
sector 95,0.29,2.0,507.0,52200.00000000001,-243934.0,-39.02
sector 1,1.85,4.0,1284.0,333000.00000000006,-1381826.0,-36.23
sector 2,0.95,2.0,1573.0,171000.00000000003,-760739.0,-37.86
sector 109,1.5,3.0,2519.0,270000.00000000006,-1194177.0,-37.72
sector 110,4.0,4.0,3350.0,720000.0000000001,-2997841.0,-36.31
sohna road,0.45,2.0,789.0,81000.00000000001,-370352.0,-38.5
sector 82a,0.62,1.0,650.0,111600.00000000001,-483616.0,-37.24
sector 90,1.15,3.0,1747.0,207000.00000000003,-910193.0,-37.58
sector 83,1.4,3.0,1570.0,252000.00000000003,-1078074.0,-36.94
sector 57,3.15,5.0,1548.0,567000.0000000001,-2311661.0,-35.83
sector 71,0.98,3.0,1466.0,176400.00000000003,-776768.0,-37.62
sector 102,1.75,3.0,1465.0,315000.00000000006,-1319963.0,-36.46
sector 65,5.0,3.0,3245.0,900000.0000000001,-3698312.0,-36.01
sector 65,2.55,3.0,1650.0,459000.00000000006,-1893251.0,-36.09
sector 33,1.65,3.0,2218.0,297000.00000000006,-1285556.0,-37.21
sector 106,2.1,4.0,2131.0,378000.00000000006,-1598860.0,-36.68
sector 9,0.95,3.0,1403.0,171000.00000000003,-752579.0,-37.6
sector 109,2.2,3.0,1860.0,396000.00000000006,-1656403.0,-36.42
sector 48,1.38,3.0,1611.0,248400.0,-1065932.0,-37.01
sector 25,15.0,5.0,6400.0,2700000.0000000005,-10904855.0,-35.61
sector 105,0.42,3.0,833.0,75600.00000000001,-351298.0,-38.89
sector 61,2.55,3.0,1630.0,459000.00000000006,-1892291.0,-36.08
sector 109,2.3,3.0,2339.0,414000.00000000006,-1749946.0,-36.66
sector 65,3.2,4.0,3150.0,576000.0000000001,-2423833.0,-36.56
sector 49,3.75,2.0,1467.0,675000.0000000001,-2731080.0,-35.65
sector 113,2.75,4.0,2886.0,495000.00000000006,-2093681.0,-36.68
sector 33,2.0,3.0,1619.0,360000.00000000006,-1503733.0,-36.39
sector 82a,1.85,3.0,1677.0,333000.00000000006,-1400690.0,-36.55
dwarka expressway,1.3,3.0,1267.0,234000.00000000003,-992979.0,-36.75
sector 90,1.23,3.0,1578.0,221400.00000000003,-958522.0,-37.22
sector 65,2.65,2.0,1433.0,477000.00000000006,-1953386.0,-35.93
sector 9,1.65,2.0,900.0,297000.00000000006,-1222292.0,-36.04
sector 43,3.8,3.0,2450.0,684000.0000000001,-2813539.0,-36.03
sector 65,2.85,4.0,1975.0,513000.00000000006,-2120504.0,-36.14
sector 63,7.8,4.0,3950.0,1404000.0000000002,-5707580.0,-35.76
sector 2,1.5,3.0,1738.0,270000.00000000006,-1156689.0,-36.97
sector 76,1.75,4.0,3111.0,315000.00000000006,-1398971.0,-37.82
sector 61,2.17,3.0,1721.0,390600.00000000006,-1628565.0,-36.34
sector 102,1.35,3.0,1315.0,243000.00000000003,-1030559.0,-36.74
sector 106,1.05,3.0,1345.0,189000.00000000003,-820346.0,-37.28
sector 14,4.26,4.0,3250.0,766800.0000000001,-3176474.0,-36.19
sector 95,0.41,2.0,670.0,73800.0,-336419.0,-38.43
sector 57,3.65,6.0,3450.0,657000.0000000001,-2755713.0,-36.48
sector 109,1.2,3.0,1701.0,216000.00000000003,-943260.0,-37.42
sector 107,0.98,2.0,1281.0,176400.00000000003,-767888.0,-37.35
sector 56,7.5,8.0,3240.0,1350000.0000000002,-5461847.0,-35.65
sector 70,1.65,3.0,1923.0,297000.00000000006,-1271396.0,-36.96
sector 48,5.5,3.0,2592.0,990000.0000000001,-4019723.0,-35.73
sector 69,1.38,3.0,1392.0,248400.0,-1055420.0,-36.78
sector 69,0.8,1.0,763.0,144000.00000000003,-616032.0,-36.94
sector 89,0.9,2.0,998.0,162000.00000000003,-697863.0,-37.1
sector 52,1.85,3.0,2127.0,333000.00000000006,-1422290.0,-36.9
sector 78,0.75,2.0,1239.0,135000.00000000003,-603605.0,-37.98
sector 99,1.3,3.0,1997.0,234000.00000000003,-1028019.0,-37.56
sohna road,0.54,2.0,828.0,97200.00000000001,-435720.0,-38.04
sector 37d,0.55,2.0,610.0,99000.00000000001,-432311.0,-37.42
sector 65,2.0,2.0,1433.0,360000.00000000006,-1494805.0,-36.25
sector 99,1.32,3.0,1737.0,237600.00000000003,-1029650.0,-37.24
sector 112,5.49,4.0,3655.35,988200.0000000001,-4063708.0,-36.02
sector 89,1.0,2.0,1233.0,180000.00000000003,-779694.0,-37.23
sector 79,1.0,2.0,1700.0,180000.00000000003,-802110.0,-37.9
sector 89,0.9,2.0,998.0,162000.00000000003,-697863.0,-37.1
sector 57,3.8,2.0,1458.0,684000.0000000001,-2765923.0,-35.64
sector 92,0.65,3.0,1574.0,117000.00000000001,-549134.0,-39.12
sector 37d,1.36,3.0,1535.0,244800.00000000006,-1048174.0,-36.96
sector 109,11.3,7.0,4500.0,2034000.0000000002,-8203266.0,-35.58
sector 37d,1.25,3.0,1725.0,225000.00000000003,-979688.0,-37.35
sector 110,0.28,2.0,1000.0,50400.000000000015,-260543.0,-41.45
sector 102,1.3,2.0,1009.0,234000.00000000003,-980595.0,-36.46
sector 28,13.0,10.0,8056.0,2340000.0000000005,-9573322.0,-35.91
sector 53,4.8,3.0,2500.0,864000.0000000001,-3521449.0,-35.82
sector 104,1.35,4.0,2991.0,243000.00000000003,-1111007.0,-38.5
sector 53,8.25,3.0,2661.0,1485000.0000000002,-5963188.0,-35.48
sector 5,0.85,1.0,1000.0,153000.00000000003,-662684.0,-37.23
sector 92,0.65,3.0,1304.0,117000.00000000001,-536174.0,-38.56
sector 69,0.75,2.0,1100.0,135000.00000000003,-596933.0,-37.71
sector 7,0.69,1.0,758.0,124200.0,-538186.0,-37.24
sector 40,5.0,9.0,2367.0,900000.0000000001,-3656168.0,-35.74
sector 78,0.88,3.0,1668.0,158400.00000000003,-715913.0,-38.23
sector 66,2.1,3.0,1800.0,378000.00000000006,-1582972.0,-36.45
sector 65,3.0,3.0,1828.0,540000.0000000001,-2219275.0,-36.01
sector 90,1.7,4.0,2005.0,306000.00000000006,-1310608.0,-36.97
sector 83,1.8,3.0,1549.0,324000.00000000006,-1359271.0,-36.49
sector 61,1.85,2.0,1389.0,333000.00000000006,-1386866.0,-36.32
sector 53,6.5,4.0,3000.0,1170000.0000000002,-4744817.0,-35.7
sector 26,5.8,4.0,4518.0,1044000.0000000001,-4323824.0,-36.19
sector 33,1.1,2.0,1533.0,198000.00000000003,-864645.0,-37.42
sector 5,1.5,6.0,3000.0,270000.00000000006,-1217265.0,-38.17
sector 92,0.7,3.0,1325.0,126000.00000000001,-572457.0,-38.35
sector 102,2.0,3.0,1456.0,360000.00000000006,-1495909.0,-36.27
sohna road,0.85,3.0,1120.0,153000.00000000003,-668444.0,-37.43
sector 12,6.0,9.0,9000.0,1080000.0000000002,-4680062.0,-37.24
sector 14,6.5,4.0,3150.0,1170000.0000000002,-4752017.0,-35.74
sector 92,1.18,4.0,2518.0,212400.00000000003,-968366.0,-38.44
sector 106,1.15,3.0,1650.0,207000.00000000003,-905537.0,-37.46
sector 9,1.2,4.0,2000.0,216000.00000000003,-957612.0,-37.78
sohna road,0.28,2.0,520.0,50400.000000000015,-237503.0,-39.22
sector 23,2.7,5.0,1450.0,486000.00000000006,-1989478.0,-35.92
sector 74,2.7,3.0,2018.0,486000.00000000006,-2016742.0,-36.23
sector 92,0.7,3.0,1572.0,126000.00000000001,-584313.0,-38.84
sector 6,1.0,6.0,240.0,180000.00000000003,-732030.0,-35.77
sector 53,4.0,5.0,2250.0,720000.0000000001,-2945041.0,-35.9
sector 3,0.75,4.0,1170.0,135000.00000000003,-600293.0,-37.85
sohna road,0.28,2.0,500.0,50400.000000000015,-236543.0,-39.12
sector 28,4.5,4.0,3240.0,810000.0000000001,-3345316.0,-36.12
sector 104,0.85,2.0,1611.0,153000.00000000003,-692012.0,-38.25
sector 72,3.09,5.0,3653.0,556200.0000000001,-2370371.0,-36.85
sector 99,0.35,2.0,606.0,63000.00000000001,-291017.0,-38.75
sector 66,3.0,4.0,2700.0,540000.0000000001,-2261131.0,-36.44
sector 47,1.05,2.0,1108.0,189000.00000000003,-808970.0,-36.95
sector 50,7.1,3.0,2259.0,1278000.0000000002,-5132555.0,-35.48
sector 38,4.3,3.0,1494.0,774000.0000000001,-3120406.0,-35.57
sector 37d,0.71,2.0,1100.0,127800.00000000001,-568712.0,-37.86
sector 109,1.6,3.0,2303.0,288000.00000000006,-1254360.0,-37.36
sector 77,1.75,3.0,1900.0,315000.00000000006,-1340843.0,-36.82
sector 43,2.5,3.0,195.0,450000.00000000006,-1788136.0,-35.24
sector 104,1.95,3.0,2544.0,351000.00000000006,-1512857.0,-37.12
sector 84,2.2,4.0,3222.0,396000.00000000006,-1721779.0,-37.32
sector 45,8.5,5.0,3240.0,1530000.0000000002,-6167358.0,-35.57
sector 70,0.53,2.0,991.0,95400.00000000001,-436488.0,-38.52
sector 71,0.9,1.0,683.0,162000.00000000003,-682743.0,-36.59
sector 33,2.3,4.0,2000.0,414000.00000000006,-1733674.0,-36.44
sector 5,0.95,4.0,1070.0,171000.00000000003,-736595.0,-37.1
sector 95,0.35,2.0,637.0,63000.00000000001,-292505.0,-38.87
sector 83,3.15,5.0,3200.0,567000.0000000001,-2390957.0,-36.61
sector 103,0.23,1.0,400.0,41400.00000000001,-196467.0,-39.39
sector 65,2.78,3.0,1829.0,500400.0,-2064111.0,-36.1
sector 84,1.5,3.0,1833.0,270000.00000000006,-1161249.0,-37.07
sector 81,0.49,2.0,700.0,88200.00000000001,-394300.0,-37.97
sector 33,1.35,2.0,1210.0,243000.00000000003,-1025519.0,-36.62
sector 14,6.4,6.0,3150.0,1152000.0000000002,-4681466.0,-35.75
sector 68,1.1,2.0,1150.0,198000.00000000003,-846261.0,-36.92
sector 69,1.3,3.0,1392.0,234000.00000000003,-998979.0,-36.89
sector 113,2.9,4.0,2553.0,522000.00000000006,-2183524.0,-36.42
sector 48,1.5,3.0,1600.0,270000.00000000006,-1150065.0,-36.84
sector 43,2.55,3.0,1935.0,459000.00000000006,-1906931.0,-36.26
sector 63,8.5,4.0,3950.0,1530000.0000000002,-6201438.0,-35.69
sector 108,0.65,2.0,1235.0,117000.00000000001,-532862.0,-38.41
sector 84,2.28,4.0,2998.0,410400.0,-1767467.0,-37.1
sector 84,0.88,3.0,1652.0,158400.00000000003,-715145.0,-38.2
sector 102,1.99,2.0,1145.0,358200.00000000006,-1473926.0,-36.04
sector 37d,1.4,3.0,1711.0,252000.00000000003,-1084842.0,-37.09
sector 3,0.68,5.0,1755.0,122400.00000000003,-578987.0,-39.31
sector 92,0.71,3.0,1473.0,127800.00000000001,-586616.0,-38.6
sector 25,3.7,4.0,2333.0,666000.0000000001,-2737372.0,-36.01
sohna road,0.91,2.0,1222.0,163800.00000000003,-715670.0,-37.43
sector 72,3.25,3.0,2986.0,585000.0000000001,-2451236.0,-36.46
sector 81,2.2,3.0,1900.0,396000.00000000006,-1658323.0,-36.45
sector 11,4.0,5.0,2025.0,720000.0000000001,-2934241.0,-35.82
sector 70,1.78,3.0,1765.0,320400.00000000006,-1355528.0,-36.68
sector 37,0.99,3.0,1400.0,178200.00000000003,-780655.0,-37.5
sector 56,2.95,2.0,1458.0,531000.0000000001,-2166239.0,-35.84
sector 84,0.54,2.0,1086.0,97200.00000000001,-448104.0,-38.7
