sector,price,built_up_area,estimated_annual_rent,Annual_Cashflow,ROI (%)
sector 69,1.29,1419.0,232200.00000000003,-993220.0,-36.94
sector 76,0.75,745.0,135000.00000000003,-579893.0,-37.04
sector 82a,1.85,1668.0,333000.00000000006,-1400258.0,-36.54
sector 78,0.7,1224.0,126000.00000000001,-567609.0,-38.15
sector 95,0.32,610.0,57600.00000000001,-270043.0,-39.1
manesar,0.85,2556.0,153000.00000000003,-737372.0,-39.76
sector 93,1.25,2105.0,225000.00000000003,-997928.0,-37.79
sector 7,0.54,1000.0,97200.00000000001,-443976.0,-38.48
sector 71,0.79,1084.0,142200.00000000003,-624385.0,-37.55
sector 25,10.0,9500.0,1800000.0000000002,-7526103.0,-36.41
sector 56,1.71,2251.0,307800.00000000006,-1329471.0,-37.16
sector 110,1.4,1550.0,252000.00000000003,-1077114.0,-36.92
sector 67,3.65,2490.0,657000.0000000001,-2709633.0,-36.09
sector 107,0.6,750.0,108000.00000000001,-474306.0,-37.55
sector 69,1.44,1381.0,259200.00000000003,-1097223.0,-36.7
sector 113,2.37,2060.0,426600.00000000006,-1785939.0,-36.44
sector 104,0.2,334.0,36000.00000000001,-172134.0,-39.57
sector 33,1.5,1539.0,270000.00000000006,-1147137.0,-36.78
sector 113,1.83,1310.0,329400.00000000006,-1368964.0,-36.27
sector 4,3.2,2250.0,576000.0000000001,-2380633.0,-36.14
sector 88a,0.5,663.0,90000.00000000001,-399579.0,-37.81
sector 41,3.4,2900.0,612000.0000000001,-2552935.0,-36.36
sector 102,4.55,4630.0,819000.0000000001,-3447312.0,-36.56
sector 49,1.72,2444.0,309600.00000000006,-1345790.0,-37.31
sector 61,2.2,1778.0,396000.00000000006,-1652467.0,-36.36
sector 82,0.63,1026.0,113400.00000000001,-508719.0,-38.05
sector 37,1.4,1890.0,252000.00000000003,-1093434.0,-37.27
sector 70,1.13,1457.0,203400.0,-882163.0,-37.26
sector 104,1.95,920.0,351000.00000000006,-1434905.0,-35.89
sector 70,1.75,1950.0,315000.00000000006,-1343243.0,-36.87
sector 103,2.45,2602.0,441000.00000000006,-1868396.0,-36.72
sector 82,4.7,2160.0,846000.0000000001,-3434578.0,-35.73
sector 28,0.7,864.0,126000.00000000001,-550329.0,-37.43
sector 89,1.3,1179.0,234000.00000000003,-988755.0,-36.65
sector 109,6.5,5400.0,1170000.0000000002,-4860017.0,-36.26
sector 37d,0.55,543.0,99000.00000000001,-429095.0,-37.25
sohna road,0.9,1014.0,162000.00000000003,-698631.0,-37.13
sector 107,1.15,1281.0,207000.00000000003,-887825.0,-37.0
sector 66,3.5,2150.0,630000.0000000001,-2587486.0,-36.0
sector 90,1.78,2000.0,320400.00000000006,-1366808.0,-36.87
sector 43,2.5,1674.0,450000.00000000006,-1859128.0,-36.13
sector 38,3.9,1836.0,702000.0000000001,-2854618.0,-35.77
sector 3,0.55,810.0,99000.00000000001,-441911.0,-37.94
sector 37d,1.67,2091.0,300600.00000000006,-1293570.0,-37.08
sector 90,0.65,1050.0,117000.00000000001,-523982.0,-38.01
sector 65,5.5,2803.0,990000.0000000001,-4029851.0,-35.79
sector 90,2.05,2005.0,369000.00000000006,-1557536.0,-36.63
sector 51,2.25,900.0,405000.00000000006,-1645598.0,-35.75
sector 33,11.0,4125.0,1980000.0000000002,-7973613.0,-35.54
sector 102,1.41,1238.0,253800.00000000003,-1069194.0,-36.58
sector 79,1.65,1815.0,297000.00000000006,-1266212.0,-36.86
sector 83,0.98,1300.0,176400.00000000003,-768800.0,-37.37
sector 14,2.2,1956.0,396000.00000000006,-1661011.0,-36.48
sector 86,1.5,1550.0,270000.00000000006,-1147665.0,-36.79
sector 103,4.35,3222.0,783000.0000000001,-3238626.0,-36.16
sector 69,1.3,1419.0,234000.00000000003,-1000275.0,-36.92
sector 71,1.1,1631.0,198000.00000000003,-869349.0,-37.55
sector 82a,1.59,1668.0,286200.00000000006,-1216825.0,-36.8
sector 88a,1.65,1652.0,297000.00000000006,-1258388.0,-36.72
sector 81,2.28,1750.0,410400.0,-1707563.0,-36.3
sector 90,1.6,2139.0,288000.00000000006,-1246488.0,-37.21
sector 90,1.21,1581.0,217800.00000000003,-944555.0,-37.26
sector 90,1.25,1437.0,225000.00000000003,-965864.0,-37.02
sector 2,0.98,1281.0,176400.00000000003,-767888.0,-37.35
sector 108,0.93,1161.0,167400.00000000003,-726853.0,-37.29
sector 61,2.24,1402.0,403200.0000000001,-1662639.0,-36.09
sector 56,1.55,1810.0,279000.00000000006,-1195421.0,-36.98
sector 79,0.78,1172.0,140400.00000000003,-621554.0,-37.74
sector 113,1.93,1429.0,347400.00000000006,-1445227.0,-36.29
sector 104,2.6,3064.0,468000.00000000006,-1996399.0,-36.87
sector 112,7.46,6350.0,1342800.0000000002,-5582907.0,-36.28
sector 22,4.8,2778.0,864000.0000000001,-3534793.0,-35.91
sector 108,0.97,1167.0,174600.00000000003,-755361.0,-37.2
sector 102,0.97,828.0,174600.00000000003,-739089.0,-36.69
sector 92,1.7,1475.0,306000.00000000006,-1285168.0,-36.51
sector 26,6.75,2430.0,1215000.0000000002,-4893835.0,-35.55
sector 90,1.2,2144.0,216000.00000000003,-964524.0,-37.94
sector 70,1.65,1527.0,297000.00000000006,-1252388.0,-36.61
sector 13,1.5,1300.0,270000.00000000006,-1135665.0,-36.55
sector 84,0.69,1222.0,124200.0,-560458.0,-38.19
sector 85,1.2,1660.0,216000.00000000003,-941292.0,-37.37
sector 92,0.75,1778.0,135000.00000000003,-629477.0,-38.97
sector 49,1.69,2178.0,304200.00000000006,-1311856.0,-37.13
sector 67,4.5,3160.0,810000.0000000001,-3341476.0,-36.1
sector 33,8.5,4770.0,1530000.0000000002,-6240798.0,-35.84
sector 107,0.4,577.0,72000.00000000001,-324900.0,-38.19
manesar,0.9,2233.0,162000.00000000003,-757143.0,-39.02
sector 52,5.0,5778.0,900000.0000000001,-3819896.0,-36.76
sector 76,1.9,1513.0,342000.00000000006,-1428094.0,-36.38
sector 84,1.24,1650.0,223200.00000000003,-969033.0,-37.28
sector 33,1.4,588.0,252000.00000000003,-1030938.0,-35.91
sector 95,0.46,809.0,82800.00000000001,-378367.0,-38.49
gwal pahari,1.38,1130.0,248400.0,-1042844.0,-36.5
sector 102,1.82,1757.0,327600.00000000006,-1383365.0,-36.64
sohna road,0.4,661.0,72000.00000000001,-328932.0,-38.48
manesar,0.86,1900.0,154800.00000000003,-712939.0,-38.68
sector 70,1.65,2167.0,297000.00000000006,-1283108.0,-37.17
sector 59,3.78,2550.0,680400.0000000001,-2804229.0,-36.08
sector 102,1.42,1315.0,255600.00000000003,-1079945.0,-36.65
sector 109,1.4,1466.0,252000.00000000003,-1073082.0,-36.83
sector 95,0.27,758.0,48600.00000000001,-241872.0,-40.53
sector 86,0.42,557.0,75600.00000000001,-338050.0,-37.98
sector 99,0.26,611.0,46800.00000000001,-227761.0,-39.99
sector 95,0.4,761.0,72000.00000000001,-333732.0,-38.83
sector 56,2.05,2000.0,369000.00000000006,-1557296.0,-36.63
sector 92,0.87,1584.0,156600.00000000003,-704826.0,-38.13
sector 86,1.65,1715.0,297000.00000000006,-1261412.0,-36.77
sector 12,0.42,567.0,75600.00000000001,-338530.0,-38.01
sector 65,2.75,1975.0,495000.00000000006,-2049953.0,-36.19
sector 9,0.88,1438.0,158400.00000000003,-704873.0,-37.86
sector 91,1.4,1700.0,252000.00000000003,-1084314.0,-37.08
sector 65,5.9,3043.0,1062000.0000000002,-4323575.0,-35.79
sector 81,0.82,955.0,147600.0,-639358.0,-37.23
sector 81,3.3,3070.0,594000.0000000001,-2490544.0,-36.47
sector 92,0.5,711.0,90000.00000000001,-401883.0,-37.94
sector 69,1.8,2200.0,324000.00000000006,-1390519.0,-37.02
sector 58,4.85,3182.0,873000.0000000001,-3589461.0,-36.02
sector 77,1.79,1600.0,322200.00000000006,-1354663.0,-36.54
sector 99,1.13,1790.0,203400.0,-898147.0,-37.68
sector 81,2.29,1900.0,412200.00000000006,-1721819.0,-36.39
sohna road,0.26,438.0,46800.00000000001,-219457.0,-39.1
sector 95,0.29,507.0,52200.00000000001,-243934.0,-39.02
sector 1,1.85,1284.0,333000.00000000006,-1381826.0,-36.23
sector 2,0.95,1573.0,171000.00000000003,-760739.0,-37.86
sector 109,1.5,2519.0,270000.00000000006,-1194177.0,-37.72
sector 110,4.0,3350.0,720000.0000000001,-2997841.0,-36.31
sohna road,0.45,789.0,81000.00000000001,-370352.0,-38.5
sector 82a,0.62,650.0,111600.00000000001,-483616.0,-37.24
sector 90,1.15,1747.0,207000.00000000003,-910193.0,-37.58
sector 83,1.4,1570.0,252000.00000000003,-1078074.0,-36.94
sector 57,3.15,1548.0,567000.0000000001,-2311661.0,-35.83
sector 71,0.98,1466.0,176400.00000000003,-776768.0,-37.62
sector 102,1.75,1465.0,315000.00000000006,-1319963.0,-36.46
sector 65,5.0,3245.0,900000.0000000001,-3698312.0,-36.01
sector 65,2.55,1650.0,459000.00000000006,-1893251.0,-36.09
sector 33,1.65,2218.0,297000.00000000006,-1285556.0,-37.21
sector 106,2.1,2131.0,378000.00000000006,-1598860.0,-36.68
sector 9,0.95,1403.0,171000.00000000003,-752579.0,-37.6
sector 109,2.2,1860.0,396000.00000000006,-1656403.0,-36.42
sector 48,1.38,1611.0,248400.0,-1065932.0,-37.01
sector 25,15.0,6400.0,2700000.0000000005,-10904855.0,-35.61
sector 105,0.42,833.0,75600.00000000001,-351298.0,-38.89
sector 61,2.55,1630.0,459000.00000000006,-1892291.0,-36.08
sector 109,2.3,2339.0,414000.00000000006,-1749946.0,-36.66
sector 65,3.2,3150.0,576000.0000000001,-2423833.0,-36.56
sector 49,3.75,1467.0,675000.0000000001,-2731080.0,-35.65
sector 113,2.75,2886.0,495000.00000000006,-2093681.0,-36.68
sector 33,2.0,1619.0,360000.00000000006,-1503733.0,-36.39
sector 82a,1.85,1677.0,333000.00000000006,-1400690.0,-36.55
dwarka expressway,1.3,1267.0,234000.00000000003,-992979.0,-36.75
sector 90,1.23,1578.0,221400.00000000003,-958522.0,-37.22
sector 65,2.65,1433.0,477000.00000000006,-1953386.0,-35.93
sector 9,1.65,900.0,297000.00000000006,-1222292.0,-36.04
sector 43,3.8,2450.0,684000.0000000001,-2813539.0,-36.03
sector 65,2.85,1975.0,513000.00000000006,-2120504.0,-36.14
sector 63,7.8,3950.0,1404000.0000000002,-5707580.0,-35.76
sector 2,1.5,1738.0,270000.00000000006,-1156689.0,-36.97
sector 76,1.75,3111.0,315000.00000000006,-1398971.0,-37.82
sector 61,2.17,1721.0,390600.00000000006,-1628565.0,-36.34
sector 102,1.35,1315.0,243000.00000000003,-1030559.0,-36.74
sector 106,1.05,1345.0,189000.00000000003,-820346.0,-37.28
sector 14,4.26,3250.0,766800.0000000001,-3176474.0,-36.19
sector 95,0.41,670.0,73800.0,-336419.0,-38.43
sector 57,3.65,3450.0,657000.0000000001,-2755713.0,-36.48
sector 109,1.2,1701.0,216000.00000000003,-943260.0,-37.42
sector 107,0.98,1281.0,176400.00000000003,-767888.0,-37.35
sector 56,7.5,3240.0,1350000.0000000002,-5461847.0,-35.65
sector 70,1.65,1923.0,297000.00000000006,-1271396.0,-36.96
sector 48,5.5,2592.0,990000.0000000001,-4019723.0,-35.73
sector 69,1.38,1392.0,248400.0,-1055420.0,-36.78
sector 69,0.8,763.0,144000.00000000003,-616032.0,-36.94
sector 89,0.9,998.0,162000.00000000003,-697863.0,-37.1
sector 52,1.85,2127.0,333000.00000000006,-1422290.0,-36.9
sector 78,0.75,1239.0,135000.00000000003,-603605.0,-37.98
sector 99,1.3,1997.0,234000.00000000003,-1028019.0,-37.56
sohna road,0.54,828.0,97200.00000000001,-435720.0,-38.04
sector 37d,0.55,610.0,99000.00000000001,-432311.0,-37.42
sector 65,2.0,1433.0,360000.00000000006,-1494805.0,-36.25
sector 99,1.32,1737.0,237600.00000000003,-1029650.0,-37.24
sector 112,5.49,3655.35,988200.0000000001,-4063708.0,-36.02
sector 89,1.0,1233.0,180000.00000000003,-779694.0,-37.23
sector 79,1.0,1700.0,180000.00000000003,-802110.0,-37.9
sector 89,0.9,998.0,162000.00000000003,-697863.0,-37.1
sector 57,3.8,1458.0,684000.0000000001,-2765923.0,-35.64
sector 92,0.65,1574.0,117000.00000000001,-549134.0,-39.12
sector 37d,1.36,1535.0,244800.00000000006,-1048174.0,-36.96
sector 109,11.3,4500.0,2034000.0000000002,-8203266.0,-35.58
sector 37d,1.25,1725.0,225000.00000000003,-979688.0,-37.35
sector 110,0.28,1000.0,50400.000000000015,-260543.0,-41.45
sector 102,1.3,1009.0,234000.00000000003,-980595.0,-36.46
sector 28,13.0,8056.0,2340000.0000000005,-9573322.0,-35.91
sector 53,4.8,2500.0,864000.0000000001,-3521449.0,-35.82
sector 104,1.35,2991.0,243000.00000000003,-1111007.0,-38.5
sector 53,8.25,2661.0,1485000.0000000002,-5963188.0,-35.48
sector 5,0.85,1000.0,153000.00000000003,-662684.0,-37.23
sector 92,0.65,1304.0,117000.00000000001,-536174.0,-38.56
sector 69,0.75,1100.0,135000.00000000003,-596933.0,-37.71
sector 7,0.69,758.0,124200.0,-538186.0,-37.24
sector 40,5.0,2367.0,900000.0000000001,-3656168.0,-35.74
sector 78,0.88,1668.0,158400.00000000003,-715913.0,-38.23
sector 66,2.1,1800.0,378000.00000000006,-1582972.0,-36.45
sector 65,3.0,1828.0,540000.0000000001,-2219275.0,-36.01
sector 90,1.7,2005.0,306000.00000000006,-1310608.0,-36.97
sector 83,1.8,1549.0,324000.00000000006,-1359271.0,-36.49
sector 61,1.85,1389.0,333000.00000000006,-1386866.0,-36.32
sector 53,6.5,3000.0,1170000.0000000002,-4744817.0,-35.7
sector 26,5.8,4518.0,1044000.0000000001,-4323824.0,-36.19
sector 33,1.1,1533.0,198000.00000000003,-864645.0,-37.42
sector 5,1.5,3000.0,270000.00000000006,-1217265.0,-38.17
sector 92,0.7,1325.0,126000.00000000001,-572457.0,-38.35
sector 102,2.0,1456.0,360000.00000000006,-1495909.0,-36.27
sohna road,0.85,1120.0,153000.00000000003,-668444.0,-37.43
sector 12,6.0,9000.0,1080000.0000000002,-4680062.0,-37.24
sector 14,6.5,3150.0,1170000.0000000002,-4752017.0,-35.74
sector 92,1.18,2518.0,212400.00000000003,-968366.0,-38.44
sector 106,1.15,1650.0,207000.00000000003,-905537.0,-37.46
sector 9,1.2,2000.0,216000.00000000003,-957612.0,-37.78
sohna road,0.28,520.0,50400.000000000015,-237503.0,-39.22
sector 23,2.7,1450.0,486000.00000000006,-1989478.0,-35.92
sector 74,2.7,2018.0,486000.00000000006,-2016742.0,-36.23
sector 92,0.7,1572.0,126000.00000000001,-584313.0,-38.84
sector 6,1.0,240.0,180000.00000000003,-732030.0,-35.77
sector 53,4.0,2250.0,720000.0000000001,-2945041.0,-35.9
sector 3,0.75,1170.0,135000.00000000003,-600293.0,-37.85
sohna road,0.28,500.0,50400.000000000015,-236543.0,-39.12
sector 28,4.5,3240.0,810000.0000000001,-3345316.0,-36.12
sector 104,0.85,1611.0,153000.00000000003,-692012.0,-38.25
sector 72,3.09,3653.0,556200.0000000001,-2370371.0,-36.85
sector 99,0.35,606.0,63000.00000000001,-291017.0,-38.75
sector 66,3.0,2700.0,540000.0000000001,-2261131.0,-36.44
sector 47,1.05,1108.0,189000.00000000003,-808970.0,-36.95
sector 50,7.1,2259.0,1278000.0000000002,-5132555.0,-35.48
sector 38,4.3,1494.0,774000.0000000001,-3120406.0,-35.57
sector 37d,0.71,1100.0,127800.00000000001,-568712.0,-37.86
sector 109,1.6,2303.0,288000.00000000006,-1254360.0,-37.36
sector 77,1.75,1900.0,315000.00000000006,-1340843.0,-36.82
sector 43,2.5,195.0,450000.00000000006,-1788136.0,-35.24
sector 104,1.95,2544.0,351000.00000000006,-1512857.0,-37.12
sector 84,2.2,3222.0,396000.00000000006,-1721779.0,-37.32
sector 45,8.5,3240.0,1530000.0000000002,-6167358.0,-35.57
sector 70,0.53,991.0,95400.00000000001,-436488.0,-38.52
sector 71,0.9,683.0,162000.00000000003,-682743.0,-36.59
sector 33,2.3,2000.0,414000.00000000006,-1733674.0,-36.44
sector 5,0.95,1070.0,171000.00000000003,-736595.0,-37.1
sector 95,0.35,637.0,63000.00000000001,-292505.0,-38.87
sector 83,3.15,3200.0,567000.0000000001,-2390957.0,-36.61
sector 103,0.23,400.0,41400.00000000001,-196467.0,-39.39
sector 65,2.78,1829.0,500400.0,-2064111.0,-36.1
sector 84,1.5,1833.0,270000.00000000006,-1161249.0,-37.07
sector 81,0.49,700.0,88200.00000000001,-394300.0,-37.97
sector 33,1.35,1210.0,243000.00000000003,-1025519.0,-36.62
sector 14,6.4,3150.0,1152000.0000000002,-4681466.0,-35.75
sector 68,1.1,1150.0,198000.00000000003,-846261.0,-36.92
sector 69,1.3,1392.0,234000.00000000003,-998979.0,-36.89
sector 113,2.9,2553.0,522000.00000000006,-2183524.0,-36.42
sector 48,1.5,1600.0,270000.00000000006,-1150065.0,-36.84
sector 43,2.55,1935.0,459000.00000000006,-1906931.0,-36.26
sector 63,8.5,3950.0,1530000.0000000002,-6201438.0,-35.69
sector 108,0.65,1235.0,117000.00000000001,-532862.0,-38.41
sector 84,2.28,2998.0,410400.0,-1767467.0,-37.1
sector 84,0.88,1652.0,158400.00000000003,-715145.0,-38.2
sector 102,1.99,1145.0,358200.00000000006,-1473926.0,-36.04
sector 37d,1.4,1711.0,252000.00000000003,-1084842.0,-37.09
sector 3,0.68,1755.0,122400.00000000003,-578987.0,-39.31
sector 92,0.71,1473.0,127800.00000000001,-586616.0,-38.6
sector 25,3.7,2333.0,666000.0000000001,-2737372.0,-36.01
sohna road,0.91,1222.0,163800.00000000003,-715670.0,-37.43
sector 72,3.25,2986.0,585000.0000000001,-2451236.0,-36.46
sector 81,2.2,1900.0,396000.00000000006,-1658323.0,-36.45
sector 11,4.0,2025.0,720000.0000000001,-2934241.0,-35.82
sector 70,1.78,1765.0,320400.00000000006,-1355528.0,-36.68
sector 37,0.99,1400.0,178200.00000000003,-780655.0,-37.5
sector 56,2.95,1458.0,531000.0000000001,-2166239.0,-35.84
sector 84,0.54,1086.0,97200.00000000001,-448104.0,-38.7
sector 82,0.85,1176.0,153000.00000000003,-671132.0,-37.53
sector 95,0.6,974.0,108000.00000000001,-485058.0,-38.08
sector 14,6.5,2500.0,1170000.0000000002,-4720817.0,-35.59
sector 2,1.0,1215.0,180000.00000000003,-778830.0,-37.21
sector 95,0.45,695.0,81000.00000000001,-365840.0,-38.21
sector 92,0.5,1068.0,90000.00000000001,-419019.0,-38.93
sector 22,4.75,2367.0,855000.0000000001,-3479790.0,-35.79
sector 109,6.0,2430.0,1080000.0000000002,-4364702.0,-35.63
sector 60,2.12,1350.0,381600.00000000006,-1575482.0,-36.12
sector 86,1.59,1700.0,286200.00000000006,-1218361.0,-36.83
sector 25,6.5,1800.0,1170000.0000000002,-4687217.0,-35.42
sector 66,1.7,1072.0,306000.00000000006,-1265824.0,-36.16
sector 108,2.6,1711.0,468000.00000000006,-1931455.0,-36.11
sector 28,8.95,5000.0,1611000.0000000002,-6569317.0,-35.83
sector 92,1.44,2267.0,259200.00000000003,-1139751.0,-37.58
sector 22,2.55,1860.0,459000.00000000006,-1903331.0,-36.22
sector 36,1.0,1122.0,180000.00000000003,-774366.0,-37.07
sector 48,4.95,2403.0,891000.0000000001,-3622620.0,-35.76
sector 39,1.5,2611.0,270000.00000000006,-1198593.0,-37.81
sector 77,0.86,1214.0,154800.00000000003,-680011.0,-37.56
sector 60,2.15,1250.0,387000.00000000006,-1591847.0,-36.03
sector 26,12.5,3240.0,2250000.0000000005,-8989399.0,-35.36
sohna road,0.65,1043.0,117000.00000000001,-523646.0,-38.0
sector 70,2.35,2667.0,423000.00000000006,-1800965.0,-36.83
sector 85,1.11,1630.0,199800.00000000006,-876356.0,-37.52
sector 25,4.25,1350.0,765000.0000000001,-3078219.0,-35.53
sector 65,2.25,1600.0,405000.00000000006,-1679198.0,-36.21
sector 83,0.78,850.0,140400.00000000003,-606098.0,-37.15
sector 84,1.15,1394.0,207000.00000000003,-893249.0,-37.14
sector 72,3.1,3653.0,558000.0000000001,-2377426.0,-36.85
sector 91,2.0,2468.0,360000.00000000006,-1544485.0,-37.01
sector 70,1.64,1527.0,295200.0,-1245333.0,-36.62
sector 9,0.94,1722.0,169200.00000000003,-760836.0,-38.11
sector 108,2.08,2631.0,374400.00000000006,-1608749.0,-37.04
sector 81,0.89,1095.0,160200.00000000003,-695464.0,-37.28
sector 26,18.25,11111.0,3285000.0000000005,-13423891.0,-35.88
sector 85,2.13,2600.0,383400.00000000006,-1642537.0,-36.97
sector 92,0.65,1240.0,117000.00000000001,-533102.0,-38.42
sector 63a,1.65,978.0,297000.00000000006,-1226036.0,-36.11
sector 25,9.9,3375.0,1782000.0000000002,-7161552.0,-35.5
sector 25,10.0,2700.0,1800000.0000000002,-7199703.0,-35.39
sector 102,2.05,2250.0,369000.00000000006,-1569296.0,-36.8
sohna road,0.9,1105.0,162000.00000000003,-702999.0,-37.27
sector 86,0.6,833.0,108000.00000000001,-478290.0,-37.75
sector 108,3.95,2343.0,711000.0000000001,-2914230.0,-35.95
